Segmento,Subgrupo / Família,Raça / Linha Base,Mutação / Sub-variedade,Categoria / Plumagem,Código / Classe Estimada FOB
Porte,Frisados,Gigante Italiano (AGI),Canela,Padrão de Porte Oficial FOB,Classe Porte GIG
Porte,Frisados,Gigante Italiano (AGI),Pintado,Padrão de Porte Oficial FOB,Classe Porte GIG
Porte,Frisados,Frisado do Norte,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado do Norte,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado do Norte,Branco,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado do Norte,Verde,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado do Norte,Canela,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado do Norte,Pintado,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado do Sul,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado do Sul,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado do Sul,Branco,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado do Sul,Verde,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado do Sul,Canela,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado do Sul,Pintado,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Gibber Italicus,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte GIB
Porte,Frisados,Gibber Italicus,Branco,Padrão de Porte Oficial FOB,Classe Porte GIB
Porte,Frisados,Gibber Italicus,Pintado,Padrão de Porte Oficial FOB,Classe Porte GIB
Porte,Frisados,Giboso Espanhol,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte GIB
Porte,Frisados,Giboso Espanhol,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte GIB
Porte,Frisados,Giboso Espanhol,Branco,Padrão de Porte Oficial FOB,Classe Porte GIB
Porte,Frisados,Giboso Espanhol,Pintado,Padrão de Porte Oficial FOB,Classe Porte GIB
Porte,Frisados,Fiorino (Com Topete),Amarelo,Padrão de Porte Oficial FOB,Classe Porte FIO
Porte,Frisados,Fiorino (Com Topete),Branco,Padrão de Porte Oficial FOB,Classe Porte FIO
Porte,Frisados,Fiorino (Com Topete),Verde,Padrão de Porte Oficial FOB,Classe Porte FIO
Porte,Frisados,Fiorino (Com Topete),Canela,Padrão de Porte Oficial FOB,Classe Porte FIO
Porte,Frisados,Fiorino (Com Topete),Pintado,Padrão de Porte Oficial FOB,Classe Porte FIO
Porte,Frisados,Fiorino (Sem Topete),Amarelo,Padrão de Porte Oficial FOB,Classe Porte FIO
Porte,Frisados,Fiorino (Sem Topete),Branco,Padrão de Porte Oficial FOB,Classe Porte FIO
Porte,Frisados,Fiorino (Sem Topete),Verde,Padrão de Porte Oficial FOB,Classe Porte FIO
Porte,Frisados,Fiorino (Sem Topete),Canela,Padrão de Porte Oficial FOB,Classe Porte FIO
Porte,Frisados,Fiorino (Sem Topete),Pintado,Padrão de Porte Oficial FOB,Classe Porte FIO
Porte,Frisados,Padovano (Com Topete),Amarelo,Padrão de Porte Oficial FOB,Classe Porte PAD
Porte,Frisados,Padovano (Com Topete),Branco,Padrão de Porte Oficial FOB,Classe Porte PAD
Porte,Frisados,Padovano (Com Topete),Verde,Padrão de Porte Oficial FOB,Classe Porte PAD
Porte,Frisados,Padovano (Com Topete),Canela,Padrão de Porte Oficial FOB,Classe Porte PAD
Porte,Frisados,Padovano (Com Topete),Pintado,Padrão de Porte Oficial FOB,Classe Porte PAD
Porte,Frisados,Padovano (Sem Topete),Amarelo,Padrão de Porte Oficial FOB,Classe Porte PAD
Porte,Frisados,Padovano (Sem Topete),Branco,Padrão de Porte Oficial FOB,Classe Porte PAD
Porte,Frisados,Padovano (Sem Topete),Verde,Padrão de Porte Oficial FOB,Classe Porte PAD
Porte,Frisados,Padovano (Sem Topete),Canela,Padrão de Porte Oficial FOB,Classe Porte PAD
Porte,Frisados,Padovano (Sem Topete),Pintado,Padrão de Porte Oficial FOB,Classe Porte PAD
Porte,Frisados,Rogetto,Amarelo,Padrão de Porte Oficial FOB,Classe Porte ROG
Porte,Frisados,Rogetto,Branco,Padrão de Porte Oficial FOB,Classe Porte ROG
Porte,Frisados,Rogetto,Verde,Padrão de Porte Oficial FOB,Classe Porte ROG
Porte,Frisados,Rogetto,Pintado,Padrão de Porte Oficial FOB,Classe Porte ROG
Porte,Posição e Forma,Bossu Belga,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte BOS
Porte,Posição e Forma,Bossu Belga,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte BOS
Porte,Posição e Forma,Bossu Belga,Branco,Padrão de Porte Oficial FOB,Classe Porte BOS
Porte,Posição e Forma,Bossu Belga,Verde,Padrão de Porte Oficial FOB,Classe Porte BOS
Porte,Posição e Forma,Bossu Belga,Pintado,Padrão de Porte Oficial FOB,Classe Porte BOS
Porte,Posição e Forma,Scotch Fancy,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte SCO
Porte,Posição e Forma,Scotch Fancy,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte SCO
Porte,Posição e Forma,Scotch Fancy,Branco,Padrão de Porte Oficial FOB,Classe Porte SCO
Porte,Posição e Forma,Scotch Fancy,Verde,Padrão de Porte Oficial FOB,Classe Porte SCO
Porte,Posição e Forma,Scotch Fancy,Pintado,Padrão de Porte Oficial FOB,Classe Porte SCO
Porte,Posição e Forma,Llarguet Espanhol,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte LLA
Porte,Posição e Forma,Llarguet Espanhol,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte LLA
Porte,Posição e Forma,Llarguet Espanhol,Branco,Padrão de Porte Oficial FOB,Classe Porte LLA
Porte,Posição e Forma,Llarguet Espanhol,Pintado,Padrão de Porte Oficial FOB,Classe Porte LLA
Porte,Posição e Forma,Raza Española,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte RAZ
Porte,Posição e Forma,Raza Española,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte RAZ
Porte,Posição e Forma,Raza Española,Branco,Padrão de Porte Oficial FOB,Classe Porte RAZ
Porte,Posição e Forma,Raza Española,Verde,Padrão de Porte Oficial FOB,Classe Porte RAZ
Porte,Posição e Forma,Raza Española,Canela,Padrão de Porte Oficial FOB,Classe Porte RAZ
Porte,Posição e Forma,Raza Española,Azul,Padrão de Porte Oficial FOB,Classe Porte RAZ
Porte,Posição e Forma,Raza Española,Pintado,Padrão de Porte Oficial FOB,Classe Porte RAZ
Porte,Posição e Forma,Hosso Japonês,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte HOS
Porte,Posição e Forma,Hosso Japonês,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte HOS
Porte,Posição e Forma,Hosso Japonês,Branco,Padrão de Porte Oficial FOB,Classe Porte HOS
Porte,Posição e Forma,Hosso Japonês,Verde,Padrão de Porte Oficial FOB,Classe Porte HOS
Porte,Posição e Forma,Hosso Japonês,Pintado,Padrão de Porte Oficial FOB,Classe Porte HOS
Porte,Posição e Forma,Border,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte BOR
Porte,Posição e Forma,Border,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte BOR
Porte,Posição e Forma,Border,Branco,Padrão de Porte Oficial FOB,Classe Porte BOR
Porte,Posição e Forma,Border,Verde,Padrão de Porte Oficial FOB,Classe Porte BOR
Porte,Posição e Forma,Border,Pintado,Padrão de Porte Oficial FOB,Classe Porte BOR
Porte,Posição e Forma,Fife Fancy,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte FIF
Porte,Posição e Forma,Fife Fancy,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte FIF
Porte,Posição e Forma,Fife Fancy,Branco,Padrão de Porte Oficial FOB,Classe Porte FIF
Porte,Posição e Forma,Fife Fancy,Verde,Padrão de Porte Oficial FOB,Classe Porte FIF
Porte,Posição e Forma,Fife Fancy,Canela,Padrão de Porte Oficial FOB,Classe Porte FIF
Porte,Posição e Forma,Fife Fancy,Azul,Padrão de Porte Oficial FOB,Classe Porte FIF
Porte,Posição e Forma,Fife Fancy,Pintado,Padrão de Porte Oficial FOB,Classe Porte FIF
Porte,Posição e Forma,Norwich,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte NOR
Porte,Posição e Forma,Norwich,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte NOR
Porte,Posição e Forma,Norwich,Branco,Padrão de Porte Oficial FOB,Classe Porte NOR
Porte,Posição e Forma,Norwich,Verde,Padrão de Porte Oficial FOB,Classe Porte NOR
Porte,Posição e Forma,Norwich,Canela,Padrão de Porte Oficial FOB,Classe Porte NOR
Porte,Posição e Forma,Norwich,Pintado,Padrão de Porte Oficial FOB,Classe Porte NOR
Porte,Posição e Forma,Yorkshire,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte YOR
Porte,Posição e Forma,Yorkshire,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte YOR
Porte,Posição e Forma,Yorkshire,Branco,Padrão de Porte Oficial FOB,Classe Porte YOR
Porte,Posição e Forma,Yorkshire,Verde,Padrão de Porte Oficial FOB,Classe Porte YOR
Porte,Posição e Forma,Yorkshire,Pintado,Padrão de Porte Oficial FOB,Classe Porte YOR
Porte,Posição e Forma,Bernois,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte BER
Porte,Posição e Forma,Bernois,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte BER
Porte,Posição e Forma,Bernois,Branco,Padrão de Porte Oficial FOB,Classe Porte BER
Porte,Posição e Forma,Bernois,Pintado,Padrão de Porte Oficial FOB,Classe Porte BER
Porte,Topetes,Gloster Corona (Com Topete),Verde,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Corona (Com Topete),Canela,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Corona (Com Topete),Ágata,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Corona (Com Topete),Isabel,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Corona (Com Topete),Azul,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Corona (Com Topete),Amarelo,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Corona (Com Topete),Branco,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Corona (Com Topete),Pintado,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Consort (Sem Topete),Verde,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Consort (Sem Topete),Canela,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Consort (Sem Topete),Ágata,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Consort (Sem Topete),Isabel,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Consort (Sem Topete),Azul,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Consort (Sem Topete),Amarelo,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Consort (Sem Topete),Branco,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Gloster Consort (Sem Topete),Pintado,Padrão de Porte Oficial FOB,Classe Porte GLO
Porte,Topetes,Crested,Verde,Padrão de Porte Oficial FOB,Classe Porte CRE
Porte,Topetes,Crested,Canela,Padrão de Porte Oficial FOB,Classe Porte CRE
Porte,Topetes,Crested,Amarelo,Padrão de Porte Oficial FOB,Classe Porte CRE
Porte,Topetes,Crested,Branco,Padrão de Porte Oficial FOB,Classe Porte CRE
Porte,Topetes,Crested,Pintado,Padrão de Porte Oficial FOB,Classe Porte CRE
Porte,Topetes,Crestbred,Verde,Padrão de Porte Oficial FOB,Classe Porte CRE
Porte,Topetes,Crestbred,Canela,Padrão de Porte Oficial FOB,Classe Porte CRE
Porte,Topetes,Crestbred,Amarelo,Padrão de Porte Oficial FOB,Classe Porte CRE
Porte,Topetes,Crestbred,Branco,Padrão de Porte Oficial FOB,Classe Porte CRE
Porte,Topetes,Crestbred,Pintado,Padrão de Porte Oficial FOB,Classe Porte CRE
Porte,Topetes,Lancashire Coppy (Com Topete),Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte LAN
Porte,Topetes,Lancashire Coppy (Com Topete),Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte LAN
Porte,Topetes,Lancashire Coppy (Com Topete),Branco,Padrão de Porte Oficial FOB,Classe Porte LAN
Porte,Topetes,Lancashire Plainhead (Sem Topete),Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte LAN
Porte,Topetes,Lancashire Plainhead (Sem Topete),Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte LAN
Porte,Topetes,Lancashire Plainhead (Sem Topete),Branco,Padrão de Porte Oficial FOB,Classe Porte LAN
Porte,Topetes,Topete Alemão,Amarelo Intenso,Padrão de Porte Oficial FOB,Classe Porte TOP
Porte,Topetes,Topete Alemão,Amarelo Nevado,Padrão de Porte Oficial FOB,Classe Porte TOP
Porte,Topetes,Topete Alemão,Branco,Padrão de Porte Oficial FOB,Classe Porte TOP
Porte,Topetes,Topete Alemão,Verde,Padrão de Porte Oficial FOB,Classe Porte TOP
Porte,Topetes,Topete Alemão,Canela,Padrão de Porte Oficial FOB,Classe Porte TOP
Porte,Topetes,Topete Alemão,Pintado,Padrão de Porte Oficial FOB,Classe Porte TOP
Porte,Desenho,Lizard Gold,Intenso (Capuz Cheio),Padrão de Porte Oficial FOB,Classe Porte LIZ
Porte,Desenho,Lizard Gold,Intenso (Capuz Partido),Padrão de Porte Oficial FOB,Classe Porte LIZ
Porte,Desenho,Lizard Gold,Intenso (Sem Capuz),Padrão de Porte Oficial FOB,Classe Porte LIZ
Porte,Desenho,Lizard Silver,Nevado (Capuz Cheio),Padrão de Porte Oficial FOB,Classe Porte LIZ
Porte,Desenho,Lizard Silver,Nevado (Capuz Partido),Padrão de Porte Oficial FOB,Classe Porte LIZ
Porte,Desenho,Lizard Silver,Nevado (Sem Capuz),Padrão de Porte Oficial FOB,Classe Porte LIZ
Porte,Desenho,Lizard Blue,Branco (Capuz Cheio),Padrão de Porte Oficial FOB,Classe Porte LIZ
Porte,Desenho,Lizard Blue,Branco (Capuz Partido),Padrão de Porte Oficial FOB,Classe Porte LIZ
Porte,Desenho,Lizard Blue,Branco (Sem Capuz),Padrão de Porte Oficial FOB,Classe Porte LIZ
Porte,Desenho,Arlequim Português (Com Topete),Clássico / Melânico Variegado,Padrão de Porte Oficial FOB,Classe Porte ARL
Porte,Desenho,Arlequim Português (Com Topete),Canela Variegado,Padrão de Porte Oficial FOB,Classe Porte ARL
Porte,Desenho,Arlequim Português (Com Topete),Jaspe Variegado,Padrão de Porte Oficial FOB,Classe Porte ARL
Porte,Desenho,Arlequim Português (Sem Topete),Clássico / Melânico Variegado,Padrão de Porte Oficial FOB,Classe Porte ARL
Porte,Desenho,Arlequim Português (Sem Topete),Canela Variegado,Padrão de Porte Oficial FOB,Classe Porte ARL
Porte,Desenho,Arlequim Português (Sem Topete),Jaspe Variegado,Padrão de Porte Oficial FOB,Classe Porte ARL
Cor,Lipocrômicos Clássicos,Branco Dominante,Clássico (Sem Melanina),Não Aplicável,LIPO-BRA-NÃO
Cor,Lipocrômicos Clássicos,Branco Recessivo,Clássico (Sem Melanina),Não Aplicável,LIPO-BRA-NÃO
Cor,Lipocrômicos Clássicos,Amarelo,Clássico (Sem Melanina),Intenso,LIPO-AMA-INT
Cor,Lipocrômicos Clássicos,Amarelo,Clássico (Sem Melanina),Nevado,LIPO-AMA-NEV
Cor,Lipocrômicos Clássicos,Amarelo,Clássico (Sem Melanina),Mosaico Macho,LIPO-AMA-MOS
Cor,Lipocrômicos Clássicos,Amarelo,Clássico (Sem Melanina),Mosaico Fêmea,LIPO-AMA-MOS
Cor,Lipocrômicos Clássicos,Amarelo Marfim,Clássico (Sem Melanina),Intenso,LIPO-AMA-INT
Cor,Lipocrômicos Clássicos,Amarelo Marfim,Clássico (Sem Melanina),Nevado,LIPO-AMA-NEV
Cor,Lipocrômicos Clássicos,Amarelo Marfim,Clássico (Sem Melanina),Mosaico Macho,LIPO-AMA-MOS
Cor,Lipocrômicos Clássicos,Amarelo Marfim,Clássico (Sem Melanina),Mosaico Fêmea,LIPO-AMA-MOS
Cor,Lipocrômicos Clássicos,Vermelho,Clássico (Sem Melanina),Intenso,LIPO-VER-INT
Cor,Lipocrômicos Clássicos,Vermelho,Clássico (Sem Melanina),Nevado,LIPO-VER-NEV
Cor,Lipocrômicos Clássicos,Vermelho,Clássico (Sem Melanina),Mosaico Macho,LIPO-VER-MOS
Cor,Lipocrômicos Clássicos,Vermelho,Clássico (Sem Melanina),Mosaico Fêmea,LIPO-VER-MOS
Cor,Lipocrômicos Clássicos,Vermelho Marfim,Clássico (Sem Melanina),Intenso,LIPO-VER-INT
Cor,Lipocrômicos Clássicos,Vermelho Marfim,Clássico (Sem Melanina),Nevado,LIPO-VER-NEV
Cor,Lipocrômicos Clássicos,Vermelho Marfim,Clássico (Sem Melanina),Mosaico Macho,LIPO-VER-MOS
Cor,Lipocrômicos Clássicos,Vermelho Marfim,Clássico (Sem Melanina),Mosaico Fêmea,LIPO-VER-MOS
Cor,Lipocrômicos Mutações,Vermelho Uruncum,Uruncum,Intenso,LIPO-URUN-INT
Cor,Lipocrômicos Mutações,Vermelho Uruncum,Uruncum,Nevado,LIPO-URUN-NEV
Cor,Lipocrômicos Mutações,Vermelho Uruncum,Uruncum,Mosaico Macho,LIPO-URUN-MOS
Cor,Lipocrômicos Mutações,Vermelho Uruncum,Uruncum,Mosaico Fêmea,LIPO-URUN-MOS
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Clássico,Intenso,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Clássico,Nevado,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Clássico,Mosaico Macho,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Clássico,Mosaico Fêmea,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Clássico,Não Aplicável (Fundo Branco/Azul),MEL-NE-CLÁ-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Clássico,Intenso,MEL-NE-CLÁ-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Clássico,Nevado,MEL-NE-CLÁ-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Clássico,Mosaico Macho,MEL-NE-CLÁ-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Clássico,Mosaico Fêmea,MEL-NE-CLÁ-COB
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Clássico,Intenso,MEL-NE-CLÁ-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Clássico,Nevado,MEL-NE-CLÁ-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Clássico,Mosaico Macho,MEL-NE-CLÁ-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Clássico,Mosaico Fêmea,MEL-NE-CLÁ-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Clássico,Intenso,MEL-NE-CLÁ-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Clássico,Nevado,MEL-NE-CLÁ-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Clássico,Mosaico Macho,MEL-NE-CLÁ-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Clássico,Mosaico Fêmea,MEL-NE-CLÁ-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Clássico,Intenso,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Clássico,Nevado,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Clássico,Mosaico Macho,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Clássico,Mosaico Fêmea,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Clássico,Intenso,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Clássico,Nevado,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Clássico,Mosaico Macho,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Clássico,Mosaico Fêmea,MEL-NE-CLÁ-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Pastel,Intenso,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Pastel,Nevado,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Pastel,Mosaico Macho,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Pastel,Mosaico Fêmea,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Pastel,Não Aplicável (Fundo Branco/Azul),MEL-NE-PAS-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Pastel,Intenso,MEL-NE-PAS-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Pastel,Nevado,MEL-NE-PAS-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Pastel,Mosaico Macho,MEL-NE-PAS-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Pastel,Mosaico Fêmea,MEL-NE-PAS-COB
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Pastel,Intenso,MEL-NE-PAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Pastel,Nevado,MEL-NE-PAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Pastel,Mosaico Macho,MEL-NE-PAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Pastel,Mosaico Fêmea,MEL-NE-PAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Pastel,Intenso,MEL-NE-PAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Pastel,Nevado,MEL-NE-PAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Pastel,Mosaico Macho,MEL-NE-PAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Pastel,Mosaico Fêmea,MEL-NE-PAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Pastel,Intenso,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Pastel,Nevado,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Pastel,Mosaico Macho,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Pastel,Mosaico Fêmea,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Pastel,Intenso,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Pastel,Nevado,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Pastel,Mosaico Macho,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Pastel,Mosaico Fêmea,MEL-NE-PAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Asas Cinzas,Intenso,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Asas Cinzas,Nevado,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Asas Cinzas,Mosaico Macho,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Asas Cinzas,Mosaico Fêmea,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Asas Cinzas,Não Aplicável (Fundo Branco/Azul),MEL-NE-ASA-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Asas Cinzas,Intenso,MEL-NE-ASA-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Asas Cinzas,Nevado,MEL-NE-ASA-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Asas Cinzas,Mosaico Macho,MEL-NE-ASA-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Asas Cinzas,Mosaico Fêmea,MEL-NE-ASA-COB
